ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,,,,,,,,,,,,,,,,,,,,,,,,
01M015,M015,P.S. 015 Roberto Clemente,310100010015,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05,06",Jul 1 1904,Open,M015,333 EAST 4 STREET,MANHATTAN,NY,10009,Thomas Staebell,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M019,M019,P.S. 019 Asher Levy,310100010019,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05,06",Jul 1 1956,Open,M019,185 1 AVENUE,MANHATTAN,NY,10003,Ivan Kushner,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M020,M020,P.S. 020 Anna Silver,310100010020,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05,06",Jul 1 1963,Open,M020,166 ESSEX STREET,MANHATTAN,NY,10002,James Lee,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M034,M034,P.S. 034 Franklin D. Roosevelt,310100010034,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",Jul 1 1955,Open,M034,730 EAST 12 STREET,MANHATTAN,NY,10009,Joyce Stallings Harte,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M063,M063,P.S. 063 William McKinley,310100010063,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05,06",Jul 1 1905,Open,M063,121 EAST 3 STREET,MANHATTAN,NY,10009,DARLENE DESPEIGNES,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M064,M064,P.S. 064 Robert Simon,310100010064,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05,06",Jul 1 1954,Open,M064,600 EAST 6 STREET,MANHATTAN,NY,10009,Marlon L. Hosang,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M110,M110,P.S. 110 Florence Nightingale,310100010110,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05,06",Jul 1 1902,Open,M110,285 DELANCY STREET,MANHATTAN,NY,10002,Karen Feuer,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M134,M134,P.S. 134 Henrietta Szold,310100010134,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05,06",Jul 1 1960,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,Loretta Caputo,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M137,M137,P.S. 137 John L. Bernstein,310100010137,DOE,General Academic,Elementary,"0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05,06",Jul 1 1966,Open,M134,293 EAST BROADWAY,MANHATTAN,NY,10002,Melissa Rodriguez,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
01M140,M140,P.S. 140 Nathan Straus,310100010140,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",Jul 1 1959,Open,M140,123 RIDGE STREET,MANHATTAN,NY,10002,Esteban Barrientos,1,1,M801,COMMUNITY SCHOOL DISTRICT 01,,,,,,,,,,,,,,,,,,,,,,,,
